,id,text,label,category
0,0-0, LOUISVILLE Dan Johnson posted a final message on Facebook to his friends and family on Wednesday afternoon ,1,1.0
1,0-1, It appeared to be a goodbye ,1,2.0
2,0-2, In it he denied the accusations that had tormented him and his family for the past 48 hours that he a Kentucky state representative and the self proclaimed Pope of his Louisville church had gotten drunk and molested a 17 year old girl during ,1,1.5
3,0-3, GOD knows the truth nothing is the way they make it out to be he wrote in the since deleted post ,1,1.0
4,0-4, I cannot handle it any longer ,1,0.75
5,0-5, BUT HEAVEN IS MY HOME ,1,0.75
6,0-6, Johnson then drove to a graffiti covered bridge outside of Mount Washington Ky a quiet and isolated spot called the River Bottoms ,1,0.75
7,0-7, He parked got out of his car and shot himself with a 40 caliber handgun according to Bullitt County Sheriff Donnie Tinnell ,1,1.0
8,0-8, The apparent suicide of a well known local Republican here was another dark and dramatic turn in the nation s recent reckoning with sexual assault and harassment with near daily revelations about powerful men leading to sudden falls from positions o,1,1.75
9,0-9, Many of those cases have led to denials resignations apologies though Johnson denied the allegations some believe they pushed him over the edge ,1,0.75
10,0-10, Johnson s wife Rebecca announced Thursday that she plans to replace him in the state legislature ,1,1.0
11,0-11, She spent the day at a funeral home arranging her husband s service consoling her relatives and continuing to do what she does best fighting for her family said David Adams a family friend and spokesman ,1,1.5
12,0-12, Dan is gone but the story of his life is far from over Rebecca Johnson said through Adams ,1,0.75
13,0-13, These high tech lynchings based on lies and half truths can t be allowed to win the day ,1,1.75
14,0-14, I ve been fighting behind my husband for 30 years and his fight will go on ,1,1.75
15,0-15, Johnson s death shook his family friends constituents and members of his church with Kentucky s political elite immediately expressing their sadness ,1,1.5
16,0-16, Gov ,1,0.75
17,0-17, Matt Bevin R wrote on Twitter My heart breaks for his family May God indeed shed His grace on us all and Sen Rand Paul R Ky said in a tweet I cannot imagine his pain or the heartbreak his family is dealing with ,1,1.25
18,0-18, White House urges Roy Moore to concede as supporters look for evidence of voter fraud ,1,1.5
19,0-19, The tumult began Monday when the Kentucky Center for Investigative Reporting published allegations that Johnson sexually assaulted his daughter s friend during a sleepover in 2013 ,1,2.75
20,1-0, CNN A Kentucky lawmaker accused of sexually assaulting a teenage girl in 2013 killed himself Wednesday officials say a day after he denied the allegations ,1,1.25
21,1-1, Republican state Rep Dan Johnson was found dead of a single gunshot wound near Mount Washington Bullitt County Coroner Dave Billings said ,1,1.5
22,1-2, Johnson drove onto a bridge in a rural area southeast of Louisville parked and shot himself in front of his car Sheriff Donnie Tinnell told CNN affiliate WDRB,1,0.75
23,1-3, Billings ruled Johnson s death a suicide on Thursday after an autopsy Deputy Coroner Clayton Brunson said ,1,1.75
24,1-4, Shortly before his death Johnson posted a rambling message on social media denying the sexual assault allegations and urging his family to stay strong for his wife ,1,1.5
25,1-5, Relatives became concerned after seeing the post and reached out to law enforcement who pinged Johnson s phone and later discovered his body according to Billings ,1,1.0
26,1-6, Billings said he was called to the scene around 7 30 p m ,1,0.75
27,1-7, Authorities discovered Johnson s body in front of his truck and a 40 caliber semi automatic handgun nearby he said ,1,2.25
28,1-8, CNN has reached out to the Bullitt County Sheriff s Office and the Kentucky governor s office but has not heard back ,1,1.0
29,1-9, His accuser said the alleged sexual assault took place in the early hours of New Year s Day in 2013 when she was 17 according to the center s explosive investigative report published Monday ,1,1.0
30,1-10, The accuser identified as Maranda Richmond is now 21 ,1,1.25
31,1-11, She said she was staying in a living area of Louisville s Heart of Fire Church where Johnson was pastor when he drunkenly kissed and fondled her underneath her clothes according to the investigative report ,1,1.25
32,1-12, The center got its hands on police documents about the accusations and interviewed Richmond leading to its story on how Johnson allegedly forced himself on her when she was a teenager ,1,1.25
33,1-13, Johnson denied the allegations a day after the center published its report saying Richmond was motivated by his political opponents ,1,1.5
34,1-14, This allegation concerning this young girl absolutely has no merit he said ,1,1.5
35,1-15, As a matter of fact some of this I heard yesterday for the first time as I read the story ,1,0.75
36,1-16, The same day Johnson held a news conference Louisville detectives reopened the investigation according to the Kentucky Center for Investigative Reporting ,1,1.0
37,1-17, Johnson posted a message on his Facebook page Wednesday evening saying the accusations are false and only God knows the truth ,1,0.75
38,1-18, The post appears to have been deleted ,1,1.25
39,1-19, GOD and only GOD knows the truth nothing is the way they make it out to be ,1,1.0
40,2-0, The Kentucky preacher turned politician who killed himself after being accused of molesting a teenager claimed he once raised a woman from the dead ,1,2.5
41,2-1, State Rep Dan Johnson also declared that he watched the second hijacked plane slam into the World Trade Center from his hotel room and spent the next two weeks blessing bodies as they were removed from the ruins at a morgue he set up at Ground Zero ,1,1.25
42,2-2, Johnson also boasted about being a White House chaplain for both Bush presidents and Bill Clinton and professed to have been a peacemaker in Los Angeles during the 1992 Rodney King riots ,1,1.5
43,2-3, These were some of the unlikely stories that Bishop Johnson posted on the web site of his Heart of Fire Church in a rural county south of Louisville ,1,1.5
44,2-4, Those tales were largely debunked in a Kentucky Center for Investigative Reporting expose that revealed that Johnson was accused by a then 17 year old Maranda Richmond of drunkenly sexually assaulting her on New Year s Eve 2012 ,1,1.25
45,2-5, Johnson a 57 year old Republican who represented mostly rural Bullitt County denied the allegation Tuesday during a news conference at his church ,1,0.75
46,2-6, He also defied bipartisan calls for him to resign ,1,0.75
47,2-7, This allegation concerning this lady this young girl absolutely has no merit these are unfounded accusations totally he said ,1,0.75
48,2-8, But a little after 7 p m Wednesday Johnson killed himself with a gunshot to the head police said about two hours after posting another strident denial on a since deleted Facebook post in which he also wrote that post traumatic stress disorder fro,1,1.5
49,2-9, I cannot handle it any longer ,1,1.25
50,2-10, BUT HEAVEN IS MY HOME he wrote ,1,1.25
51,2-11, Not long after his death was ruled a suicide Johnson s wife Rebecca who is the pastor of their church announced Thursday that she will run for his seat and called her husband s death a high tech lynching based on lies and half truths ,1,2.25
52,2-12, KCIP found that Johnson s claim that he had brought a dead woman back to life while serving as a missionary in South America was based on a letter written by another preacher who admitted he hadn t seen the supposed miracle and only heard about it ,1,1.0
53,2-13, And while the Kentucky reporters found records that placed Johnson in New York City on or around 9 11 it s unlikely he watched a plane crash into one of the Twin Towers from The New Yorker Hotel as he claimed on the web site ,1,0.75
