,id,text,label,pos,bias_type,quote,aim
0,0,WASHINGTON Michael Steele chairman of the Republican National Committee drew fierce criticism and a call for his resignation on Friday after declaring at a party fund raiser that the United States was on the wrong side of history with its conflict in Afghanistan a military fight he called a war of Obama s choosing ,1,fierce,lex,no,dir
1,1, It was the president who was trying to be cute by half by flipping a script demonizing Iraq while saying the battle really should be Afghanistan Mr Steele said according to a video of his remarks that was circulated by Democrats on Friday ,1,who was trying to be cute,inf,yes,dir
2,2, Your tenure has of course been marked by gaffes and embarrassments but I for one have never paid much attention to them and have never thought they would matter much to the success of the causes and principles we share Mr Kristol wrote Friday ,1,"Your tenure has, of course, been marked by gaffes and embarrassments",inf,yes,dir
3,3,A spokesman for the Democratic National Committee Brad Woodhouse said Mr Steele was betting against our troops and rooting for failure in Afghanistan ,1,“betting against our troops and rooting for failure in Afghanistan.”,inf,yes,dir
4,4,His remarks were the latest in a string of controversial statements that he has made as party chairman ,1,His remarks were the latest in a string of controversial statements that he has made as party chairman.,inf,no,dir
5,5,The GOP chairman is known for off the cuff and occasionally troublesome comments but the Afghanistan remarks were too much to bear for some war supporting Republicans ,1,The GOP chairman is known for off-the-cuff and occasionally troublesome comments,inf,no,dir
6,6,Speaking on ABC s This Week Sen John McCain R Ariz said Steele s comments were wildly inaccurate ,1,wildly,lex,yes,dir
7,7,Another major neoconservative figure Dan Senor told the Huffington Post that Steele s comments are utterly irresponsible ,1,“utterly irresponsible.”,lex,yes,dir
8,8,He is the figurehead of the Republican Party whose tenure once again seems shaky ,1,once again,inf,no,dir
9,9,It s an affront both to the honor of the Republican party and to the commitment of the soldiers fighting to accomplish the mission they ve been asked to take on by our elected leaders ,1,It’s an affront,inf,yes,dir
10,10,At a time when Gen Petraeus has just taken over command when Republicans in Congress are pushing for a clean war funding resolution when Republicans around the country are doing their best to rally their fellow citizens behind the mission your comment is more than an embarrassment ,1,your comment is more than an embarrassment,inf,yes,dir
11,11, It s completely inconsistent with this latest statement summarized Senor ,1,"“It’s completely inconsistent with this latest statement,”",inf,yes,dir
12,12,Senor who served under the Bush administration as chief spokesman in Iraq and has been a major booster of efforts to escalate U S military presence in Afghanistan noted that Steele s RNC actually sponsored a conference call for his group to praise Obama s Afghan surge last year ,1,Steele’s RNC actually sponsored a conference call for his group to praise Obama’s Afghan surge last year,inf,no,dir
13,13,Indeed even Steele himself declared back in December that Afghanistan is a war we have to win a far cry from the comments he made Thursday night in which he said you don t do is engage in a land war in Afghanistan alright because everyone who s tried over a thousand years of history has failed ,1,far cry,lex,no,dir
14,14,Mr Bauer went on to say that such horse trading has been commonplace through history ,1,Mr. Bauer went on to say that such horse-trading has been commonplace through history.,inf,no,dir
15,15, Such discussions are fully consistent with the relevant law and ethical requirements ,1,“Such discussions are fully consistent with the relevant law and ethical requirements.”,inf,yes,dir
16,16, It is abundantly clear that this kind of conduct is contrary to President Obama s pledge to change business as usual and that his administration has engaged in the kind of political shenanigans he once campaigned to end ,1,“It is abundantly clear that this kind of conduct is contrary to President Obama’s pledge to change ’business as usual’ and that his administration has engaged in the kind of political shenanigans he once campaigned to end.”,inf,yes,dir
17,17, It is abundantly clear that this kind of conduct is contrary to President Obama s pledge to change business as usual and that his administration has engaged in the kind of political shenanigans he once campaigned to end ,1,shenanigans,lex,yes,dir
18,18,Democrats and some Republicans have said it is hardly unusual for presidents to offer political appointments to clear the way for allies ,1,Democrats and some Republicans have said it is hardly unusual for presidents to offer political appointments to clear the way for allies.,inf,no,dir
19,19,Batting down allegations that the White House dangled the secretary of Navy position in front of Sestak the report said that Sestak was offered executive branch positions on advisory boards that were uncompensated ,1,dangled,lex,no,dir
20,20,At hastily arranged news conference Friday afternoon Sestak said Clinton called him last summer to express concerns over his jumping into the Senate primary and how his military background could help him leave a mark on the House ,1,hastily arranged,inf,no,dir
